"Date","End month weighted average interest rate, 5 year fixed mortgage (95% LTV), Building Societies                [a]             IUM5WBS","End month weighted average interest rate, 5 year fixed mortgage (95% LTV), Banks                [a]             IUM5WCB","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 5 year (95% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [b] [c] [d] [e]             IUM5WTL","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 5 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [b] [c] [d] [e]             IUMBV42"
"28 Feb 21","n/a","n/a","4.37","1.8"
"31 Jan 21","n/a","n/a","4.37","1.97"
"31 Dec 20","n/a","n/a","4.37","2"
"30 Nov 20","n/a","n/a","4.37","2.05"
"31 Oct 20","n/a","n/a","4.21","2.05"
"30 Sep 20","n/a","n/a","4.23","1.92"
"31 Aug 20","n/a","n/a","4.07","1.79"
"31 Jul 20","n/a","n/a","4.04","1.7"
"30 Jun 20","n/a","n/a","3.77","1.69"
"31 May 20","n/a","n/a","3.49","1.7"
"30 Apr 20","n/a","n/a","3.39","1.67"
"31 Mar 20","n/a","n/a","3.29","1.66"
"29 Feb 20","n/a","n/a","3.28","1.67"
"31 Jan 20","n/a","n/a","3.34","1.68"
"31 Dec 19","n/a","n/a","3.37","1.67"
"30 Nov 19","n/a","n/a","3.37","1.67"
"31 Oct 19","n/a","n/a","3.38","1.71"
"30 Sep 19","n/a","n/a","3.37","1.79"
"31 Aug 19","n/a","n/a","3.39","1.89"
"31 Jul 19","n/a","n/a","3.39","1.93"
"30 Jun 19","n/a","n/a","3.44","1.97"
"31 May 19","n/a","n/a","3.46","1.99"
"30 Apr 19","n/a","n/a","3.46","2"
"31 Mar 19","n/a","n/a","3.57","2.03"
"28 Feb 19","n/a","n/a","3.6","2.05"
"31 Jan 19","n/a","n/a","3.64","2.05"
"31 Dec 18","n/a","n/a","3.72","2.01"
"30 Nov 18","n/a","n/a","3.81","2.02"
"31 Oct 18","n/a","n/a","3.88","2.06"
"30 Sep 18","n/a","n/a","3.94","2.01"
"31 Aug 18","n/a","n/a","4.15","2.03"
"31 Jul 18","n/a","n/a","4.29","2.04"
"30 Jun 18","n/a","n/a","4.39","2.03"
"31 May 18","n/a","n/a","4.43","2.06"
"30 Apr 18","n/a","n/a","4.37","2.01"
"31 Mar 18","n/a","n/a","4.44","2.02"
"28 Feb 18","n/a","n/a","4.5","1.99"
"31 Jan 18","n/a","n/a","4.49","1.98"
"31 Dec 17","n/a","n/a","4.54","2.07"
"30 Nov 17","n/a","n/a","4.58","2.04"
"31 Oct 17","n/a","n/a","4.71","2.04"
"30 Sep 17","n/a","n/a","4.68","1.9"
"31 Aug 17","n/a","n/a","4.63","1.96"
"31 Jul 17","n/a","n/a","4.67","1.97"
"30 Jun 17","n/a","n/a","4.74","1.99"
"31 May 17","n/a","n/a","4.72","2.03"
"30 Apr 17","n/a","n/a","4.7","2.09"
"31 Mar 17","n/a","n/a","4.7","2.15"
"28 Feb 17","n/a","n/a","4.62","2.2"
"31 Jan 17","n/a","n/a","4.58","2.22"
"31 Dec 16","n/a","n/a","4.6","2.26"
"30 Nov 16","n/a","n/a","4.6","2.25"
"31 Oct 16","n/a","n/a","4.56","2.27"
"30 Sep 16","n/a","n/a","4.62","2.34"
"31 Aug 16","n/a","n/a","4.64","2.39"
"31 Jul 16","n/a","n/a","4.65","2.51"
"30 Jun 16","n/a","n/a","4.65","2.54"
"31 May 16","n/a","n/a","4.68","2.64"
"30 Apr 16","n/a","n/a","4.71","2.71"
"31 Mar 16","n/a","n/a","4.68","2.7"
"29 Feb 16","n/a","n/a","4.7","2.73"
"31 Jan 16","n/a","n/a","4.71","2.68"
"31 Dec 15","n/a","n/a","4.82","2.75"
"30 Nov 15","n/a","n/a","4.85","2.77"
"31 Oct 15","n/a","n/a","4.89","2.78"
"30 Sep 15","n/a","n/a","4.88","2.84"
"31 Aug 15","n/a","n/a","4.97","2.92"
"31 Jul 15","n/a","n/a","4.97","2.83"
"30 Jun 15","n/a","n/a","4.96","2.82"
"31 May 15","n/a","n/a","4.96","2.86"
"30 Apr 15","n/a","n/a","4.98","2.92"
"31 Mar 15","n/a","n/a","4.98","2.98"
"28 Feb 15","n/a","n/a","5.02","3.05"
"31 Jan 15","n/a","n/a","5.06","3.09"
"31 Dec 14","n/a","n/a","5.43","3.21"
"30 Nov 14","n/a","n/a","5.52","3.21"
"31 Oct 14","n/a","n/a","5.58","3.27"
"30 Sep 14","n/a","n/a","5.63","3.61"
"31 Aug 14","n/a","n/a","5.58","3.76"
